Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/08,Fev/08,Mar/08,Abr/08,Mai/08,Jun/08,Jul/08,Ago/08,Set/08,Out/08,Nov/08,Dez/08,Região,Rpga,Total
Camacã,-15.418059,-39.051083,65.2,170.6,86,97.1,22.9,66.3,60.6,52.6,18.6,55.6,104.5,187.5,Sul,RPGA do Leste,695.5
Candeias - EMBASA,-12.663561,-38.533,4.4,116.2,164.6,85.9,115.7,87,99.3,51,37.7,37.9,67.4,91.1,Recôncavo,RPGA do Recôncavo Norte,799.7
Serrinha - A441,-11.664586,-39.022946,,,,,,85,54.8,49.4,34,36.2,39.2,111,Nordeste,RPGA do Rio Paraguaçu,259.41
Serrinha - RN-CL-02,-11.648333,-38.982777,2.5,63.25,40.5,25.5,53.75,60.5,51.75,49.4,14,41,33.25,112.65,Nordeste,RPGA do Recôncavo Norte,402.15
Salvador (Abaeté) - RN-PR-01,-12.945407,-38.361404,9.4,86.3,102.5,144.5,208.7,107.3,120.9,49.2,35,32.3,39.5,67.1,Recôncavo,RPGA do Recôncavo Norte,896.1
Santo Estêvão - EBDA,-12.434665,-39.251074,1.5,134.2,70.2,49.2,21.6,112.4,59.1,48.7,49,44,40.6,90.2,Recôncavo,RPGA do Rio Paraguaçu,589.91
Entre Rios - EBDA,-11.951326,-38.084374,15.3,107,253.5,186,235,180,125,48.2,71.5,65,21,109,Nordeste,RPGA do Recôncavo Norte,1286.5
Antas - EBDA,-10.401293,-38.334375,0,30.5,150,139.6,136.5,60.9,26,48,31.5,2.5,0,0,Nordeste,RPGA do Rio Vaza-Barris,625.5
Ribeira do Pombal (Curral Falso) - IT-PR-01,-10.697843,-38.5714,5.75,32.75,100,124,128.25,58.5,34,46.25,22,5.75,6,22.5,Nordeste,RPGA do Rio Itapicuru,557.25
Itapicuru - IT-PR-12,-11.321193,-38.225003,1,158.25,110.5,42.25,49.5,,59.25,45,,,,,Nordeste,RPGA do Rio Itapicuru,465.75
Serrinha - 83190,-11.633333,-38.966667,1.9,75.4,59.8,19.5,60.2,82.1,49.3,44.8,34.6,32.5,32,123.4,Nordeste,RPGA do Recôncavo Norte,460.1
Ribeira do Pombal - IT-PR-04,-10.823399,-38.545844,23.75,40.5,72,35.25,123.25,64.75,55.25,44.75,23.75,1.75,3.75,47.5,Nordeste,RPGA do Rio Itapicuru,485
Monte Santo - 83090,-10.4425,-39.331111,1,117.2,89.2,35.2,57.8,59,46.8,44.5,14.4,5.2,4.4,94,Nordeste,RPGA do Rio Itapicuru,470.3
Inhambupe - EBDA,-11.784656,-38.351047,0,63.5,118,81.5,98.5,57.5,73.8,44.3,47,58.3,21.8,63.5,Nordeste,RPGA do Recôncavo Norte,642.4
Jacobina - EBDA,-11.167968,-40.501101,0,93,50,83,123,38,0,42.5,35,25,0,72,Nordeste,RPGA do Rio Itapicuru,489.5
Euclides da Cunha (Fazenda Santo Antônio) - IT-PR-06,-10.405331,-39.045582,1.5,104,82.25,56.75,55,59.75,43.25,42.5,21.25,5,1.5,26.5,Nordeste,RPGA do Rio Itapicuru,471.25
Ribeira do Amparo - EBDA,-11.034638,-38.43438,0,55.1,62,141,99.6,60.2,46.7,41.3,37,10.8,6,0,Nordeste,RPGA do Rio Itapicuru,553.7
Paulo Afonso - A411,-9.379325,-38.227424,0,57.8,103.8,61.8,69.8,39.2,102.2,41,11.8,3,,,Nordeste,RPGA dos Rios Macururé e Curaçá,490.4
Nova Soure (Estação Experimental) - IT-PR-10,-11.3083,-38.5361,2,112,32,63.75,47,45.5,42.25,40.75,31.5,18.5,46.5,32.75,Nordeste,RPGA do Rio Itapicuru,435.25
Salvador - Canabrava,-12.924122,-38.429942,9.1,141.7,165.3,164.8,286.6,181.5,161,40.1,48.5,52.9,69.2,49.4,Recôncavo,RPGA do Recôncavo Norte,1251.5
Mundo Novo - EBDA,-11.851314,-40.46777,0,195,0,25,50,30,63,40,25,30,0,253,Chapada Diamantina,RPGA do Rio Paraguaçu,458
Caém - EBDA,-11.091855,-40.436378,6.25,83.5,188.75,52.5,78.75,88.75,46.25,39.75,17,22.5,27,116.5,Nordeste,RPGA do Rio Itapicuru,624
Caém - IT-PR-35,-11.093399,-40.437579,4,56.5,157.25,113.25,78.25,89.25,46.25,39.75,17,22.5,1.5,142,Nordeste,RPGA do Rio Itapicuru,624
Crisópolis - IT-PR-08,-11.510923,-38.120832,11.5,10.25,24.75,21.5,0,27,71.75,39.5,46.25,19.25,10.75,,Nordeste,RPGA do Rio Itapicuru,271.75
Jaguaquara - RS-CL-01,-13.573055,-39.940833,11.5,151.75,110.75,50.75,19,115.75,64,38.75,35.5,6.5,66.5,99.75,Sudoeste,RPGA do Recôncavo Sul,604.25
Guaratinga - 83446,-16.58,-39.78,86.5,126,106,3.4,3.2,59.8,45.1,38.7,26.2,21.7,157.4,98.1,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",516.6
Olindina_EBDA - EBDA,-11.351311,-38.33438,0,82.7,91.3,76.2,40.8,48.8,60.3,38.5,32.3,3,0,0,Nordeste,RPGA do Rio Itapicuru,473.91
Nova Soure - EBDA,-11.251311,-38.484383,3,88.3,66.7,43.6,87.4,54.8,59.1,38.2,26.7,36.3,92,54.5,Nordeste,RPGA do Rio Itapicuru,504.1
Itiruçu - A407,-13.52629,-40.12055,8.4,179.2,139.2,33.2,29.6,102.4,68.2,38,66.6,15,65.2,124.8,Sudoeste,RPGA do Recôncavo Sul,679.81
Cipó - 83192,-11.083333,-38.516667,18.5,87.5,99.6,108.2,51.3,40.3,42.6,37.6,34.5,11.6,0,48.9,Nordeste,RPGA do Rio Itapicuru,531.71
Feira de Santana - Fz.C. Mocó - EBDA,-12.267996,-38.967732,0,47.5,45,70,15,117.5,87.5,37.5,16,10,0,0,Recôncavo,RPGA do Rio Paraguaçu,446
Feira de Santana - EBDA,-12.268274,-38.96801,1.5,148.2,118.2,94.1,40.2,85,76.9,37.4,26.4,32.1,58.4,103.4,Recôncavo,RPGA do Rio Paraguaçu,660
Eunápolis - EBDA,-16.368074,-39.567768,53.75,130,83.75,42.75,3.25,93.25,52.7,37.25,23.25,48.25,154,111,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",568.2
Olindina (Umbuzeiro) - IT-PR-32,-11.454252,-38.455844,0.25,53.5,27.25,61.25,90.5,48.5,47.5,36.5,42,20.5,3.25,58.75,Nordeste,RPGA do Rio Itapicuru,427.75
Eunápolis - FB-CL-01,-16.290555,-39.579722,53.75,130,82.25,42.75,3.25,93.75,52.7,36.25,23.25,48.25,148,111,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",566.2
Paulo Afonso - 82986,-9.379325,-38.227424,0,55,97,59.6,64.6,32.6,92.1,36.2,2.2,2.6,0,153.7,Nordeste,RPGA dos Rios Macururé e Curaçá,441.9
Jacobina - A440,-11.205136,-40.464979,,,,,,82.4,35,36,23.2,21.6,3.6,169.2,Nordeste,RPGA do Rio Itapicuru,198.2
Lençóis - A425,-12.557854,-41.388808,,,,,34.6,80.6,27.8,35.6,27.2,9.4,138,172.2,Chapada Diamantina,RPGA do Rio Paraguaçu,215.2
Alcobaça - EBDA,-17.520876,-39.196654,90.4,129.2,74.1,39.6,69.6,291.3,45.1,34.8,30.4,24.7,339.7,184.5,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",829.2
Jacobina - 83186,-11.172778,-40.534167,3.7,99,120.9,74.7,97.3,46.1,21.6,34.7,17.8,13.7,0,49.4,Nordeste,RPGA do Rio Itapicuru,529.51
Tapiramutá - PG-PR-09,-11.838502,-40.791761,0.75,63.5,114,44,63.5,64.5,48.25,34.5,18.5,14,7.25,178.5,Chapada Diamantina,RPGA do Rio Paraguaçu,465.5
Senhor do Bonfim - 83088,-10.490649,-40.100044,1,101.5,256.2,115.2,42.8,68.6,55.2,34.3,10.1,10.7,,94.1,Nordeste,RPGA do Rio Itapicuru,695.6
Feira de Santana - PG-PR-13,-12.268161,-38.96642,2.75,139.25,59.75,92.5,37,83,75.25,34.25,25.5,30.25,75,86.25,Recôncavo,RPGA do Rio Paraguaçu,579.5
Itamaraju - EBDA,-17.068089,-39.534438,122.5,55.3,99.3,15,12,161.4,49.5,34.1,32.1,46.2,207.6,186,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",627.41
Ipiaú - EBDA,-14.134698,-39.734428,58.1,134.7,75.3,,15.1,116.2,59.7,32.6,,16,169.6,145.5,Sudoeste,RPGA do Rio de Contas,507.7
Caravelas - A405,-17.739413,-39.258617,113.6,58.8,94.2,0.2,21,1.6,49.2,32.4,50.2,37.2,230,128,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",458.4
Tanquinho - EBDA,-11.96799,-39.101068,0,166.8,66.4,13,64,37.7,31.4,32.2,7.3,33.6,100.8,106.4,Nordeste,RPGA do Rio Paraguaçu,452.41
Ibicoara - EBDA,-13.351341,-41.284464,0,,,0,0,58.2,50.8,32.1,9.6,0,0,,Chapada Diamantina,RPGA do Rio de Contas,150.7
Lençóis - 83242,-12.5575,-41.388889,12.3,169.3,193.4,97.1,32.2,68.9,23.9,32,26.3,9.7,127.5,160.8,Chapada Diamantina,RPGA do Rio Paraguaçu,665.1
Mundo Novo (Ibiaporã) - PG-CL-01,-12.05379,-40.83722,6.25,132,72,33.5,77,144,39.25,31.75,27.5,13.5,15.5,82.25,Chapada Diamantina,RPGA do Rio Paraguaçu,576.75
Potiraguá - EBDA,-15.601392,-39.867771,70.2,0,0,67.3,5.4,45.5,21.7,31.5,1,29,167.7,76.7,Sul,RPGA do Rio Pardo,271.6
Riachão do Jacuípe_EBDA,-11.801317,-39.384408,0,98,121,27,38.6,73.5,72.5,30.5,24,28,12.5,175.5,Nordeste,RPGA do Rio Paraguaçu,513.1
